0 с,   0.00 м/с
6442 с,   28059.75 м/с
6443 с,   28061.28 м/с
6444 с,   28062.83 м/с
6445 с,   28064.41 м/с
6446 с,   28066.00 м/с
6447 с,   28067.61 м/с
6448 с,   28069.24 м/с
6449 с,   28070.89 м/с
6450 с,   28072.55 м/с
6451 с,   28074.24 м/с
6452 с,   28075.94 м/с
6453 с,   28077.67 м/с
6454 с,   28079.41 м/с
6455 с,   28081.18 м/с
6456 с,   28082.96 м/с
6457 с,   28084.76 м/с
6458 с,   28086.58 м/с
6459 с,   28088.41 м/с
6460 с,   28090.27 м/с
6461 с,   28092.15 м/с
6462 с,   28094.04 м/с
6463 с,   28095.95 м/с
6464 с,   28097.89 м/с
6465 с,   28099.84 м/с
6466 с,   28101.81 м/с
6467 с,   28103.80 м/с
6468 с,   28105.80 м/с
6469 с,   28107.83 м/с
6470 с,   28109.87 м/с
6471 с,   28111.94 м/с
6472 с,   28114.02 м/с
6473 с,   28116.12 м/с
6474 с,   28118.24 м/с
6475 с,   28120.38 м/с
6476 с,   28122.53 м/с
6477 с,   28124.71 м/с
6478 с,   28126.90 м/с
6479 с,   28129.11 м/с
6480 с,   28131.34 м/с
6481 с,   28133.59 м/с
6482 с,   28135.86 м/с
6483 с,   28138.14 м/с
6484 с,   28140.45 м/с
6485 с,   28142.77 м/с
6486 с,   28145.11 м/с
6487 с,   28147.47 м/с
6488 с,   28149.85 м/с
6489 с,   28152.24 м/с
6490 с,   28154.65 м/с
6491 с,   28157.09 м/с
6492 с,   28159.54 м/с
6493 с,   28162.00 м/с
6494 с,   28164.49 м/с
6495 с,   28167.00 м/с
6496 с,   28169.52 м/с
6497 с,   28172.06 м/с
6498 с,   28174.62 м/с
6499 с,   28177.19 м/с
6500 с,   28179.79 м/с
6501 с,   28182.40 м/с
6502 с,   28185.03 м/с
6503 с,   28187.68 м/с
6504 с,   28190.35 м/с
6505 с,   28193.03 м/с
6506 с,   28195.73 м/с
6507 с,   28198.45 м/с
6508 с,   28201.19 м/с
6509 с,   28203.94 м/с
6510 с,   28206.72 м/с
6511 с,   28209.51 м/с
6512 с,   28212.32 м/с
6513 с,   28215.14 м/с
6514 с,   28217.99 м/с
6515 с,   28220.85 м/с
6516 с,   28223.73 м/с
6517 с,   28226.62 м/с
6518 с,   28229.54 м/с
6519 с,   28232.47 м/с
6520 с,   28235.42 м/с
6521 с,   28238.38 м/с
6522 с,   28241.37 м/с
6523 с,   28244.37 м/с
6524 с,   28247.39 м/с
6525 с,   28250.42 м/с
6526 с,   28253.48 м/с
6527 с,   28256.55 м/с
6528 с,   28259.63 м/с
6529 с,   28262.74 м/с
6530 с,   28265.86 м/с
6531 с,   28269.00 м/с
6532 с,   28272.15 м/с
6533 с,   28275.33 м/с
6534 с,   28278.52 м/с
6535 с,   28281.72 м/с
6536 с,   28284.95 м/с
6537 с,   28288.19 м/с
6538 с,   28291.45 м/с
6539 с,   28294.72 м/с
6540 с,   28298.01 м/с
6541 с,   28301.32 м/с
6542 с,   28304.64 м/с
6543 с,   28307.99 м/с
6544 с,   28311.34 м/с
6545 с,   28314.72 м/с
6546 с,   28318.11 м/с
6547 с,   28321.52 м/с
6548 с,   28324.94 м/с
6549 с,   28328.39 м/с
6550 с,   28331.84 м/с
6551 с,   28335.32 м/с
6552 с,   28338.81 м/с
6553 с,   28342.32 м/с
6554 с,   28345.84 м/с
6555 с,   28349.38 м/с
6556 с,   28352.93 м/с
6557 с,   28356.51 м/с
6558 с,   28360.10 м/с
6559 с,   28363.70 м/с
6560 с,   28367.32 м/с
6561 с,   28370.96 м/с
6562 с,   28374.61 м/с
6563 с,   28378.28 м/с
6564 с,   28381.97 м/с
6565 с,   28385.67 м/с
6566 с,   28389.38 м/с
6567 с,   28393.12 м/с
6568 с,   28396.87 м/с
6569 с,   28400.63 м/с
6570 с,   28404.41 м/с
6571 с,   28408.21 м/с
6572 с,   28412.02 м/с
6573 с,   28415.85 м/с
6574 с,   28419.69 м/с
6575 с,   28423.55 м/с
6576 с,   28427.42 м/с
6577 с,   28431.31 м/с
6578 с,   28435.22 м/с
6579 с,   28439.14 м/с
6580 с,   28443.08 м/с
6581 с,   28447.03 м/с
6582 с,   28450.99 м/с
6583 с,   28454.98 м/с
6584 с,   28458.97 м/с
6585 с,   28462.99 м/с
6586 с,   28467.01 м/с
6587 с,   28471.06 м/с
6588 с,   28475.11 м/с
6589 с,   28479.19 м/с
6590 с,   28483.28 м/с
6591 с,   28487.38 м/с
6592 с,   28491.50 м/с
6593 с,   28495.63 м/с
6594 с,   28499.78 м/с
6595 с,   28503.94 м/с
6596 с,   28508.12 м/с
6597 с,   28512.31 м/с
6598 с,   28516.52 м/с
6599 с,   28520.74 м/с
6600 с,   28524.97 м/с
6601 с,   28529.22 м/с
6602 с,   28533.49 м/с
6603 с,   28537.77 м/с
6604 с,   28542.06 м/с
6605 с,   28546.37 м/с
6606 с,   28550.69 м/с
6607 с,   28555.03 м/с
6608 с,   28559.38 м/с
6609 с,   28563.75 м/с
6610 с,   28568.13 м/с
6611 с,   28572.52 м/с
6612 с,   28576.93 м/с
6613 с,   28581.35 м/с
6614 с,   28585.79 м/с
6615 с,   28590.24 м/с
6616 с,   28594.70 м/с
6617 с,   28599.18 м/с
6618 с,   28603.67 м/с
6619 с,   28608.17 м/с
6620 с,   28612.69 м/с
6621 с,   28617.23 м/с
6622 с,   28621.77 м/с
6623 с,   28626.33 м/с
6624 с,   28630.91 м/с
6625 с,   28635.49 м/с
6626 с,   28640.09 м/с
6627 с,   28644.71 м/с
6628 с,   28649.33 м/с
6629 с,   28653.97 м/с
6630 с,   28658.63 м/с
6631 с,   28663.30 м/с
6632 с,   28667.98 м/с
6633 с,   28672.67 м/с
6634 с,   28677.38 м/с
6635 с,   28682.10 м/с
6636 с,   28686.83 м/с
6637 с,   28691.57 м/с
6638 с,   28696.33 м/с
6639 с,   28701.10 м/с
6640 с,   28705.89 м/с
6641 с,   28710.69 м/с
6642 с,   28715.49 м/с
6643 с,   28720.32 м/с
6644 с,   28725.15 м/с
6645 с,   28730.00 м/с
6646 с,   28734.86 м/с
6647 с,   28739.73 м/с
6648 с,   28744.62 м/с
6649 с,   28749.51 м/с
6650 с,   28754.42 м/с
6651 с,   28759.35 м/с
6652 с,   28764.28 м/с
6653 с,   28769.23 м/с
6654 с,   28774.19 м/с
6655 с,   28779.16 м/с
6656 с,   28784.14 м/с
6657 с,   28789.13 м/с
6658 с,   28794.14 м/с
6659 с,   28799.16 м/с
6660 с,   28804.19 м/с
6661 с,   28809.23 м/с
6662 с,   28814.29 м/с
6663 с,   28819.35 м/с
6664 с,   28824.43 м/с
6665 с,   28829.52 м/с
6666 с,   28834.62 м/с
6667 с,   28839.73 м/с
6668 с,   28844.85 м/с
6669 с,   28849.99 м/с
6670 с,   28855.14 м/с
6671 с,   28860.29 м/с
6672 с,   28865.46 м/с
6673 с,   28870.64 м/с
6674 с,   28875.83 м/с
6675 с,   28881.04 м/с
6676 с,   28886.25 м/с
6677 с,   28891.47 м/с
6678 с,   28896.71 м/с
6679 с,   28901.95 м/с
6680 с,   28907.21 м/с
6681 с,   28912.48 м/с
6682 с,   28917.76 м/с
6683 с,   28923.05 м/с
6684 с,   28928.35 м/с
6685 с,   28933.66 м/с
6686 с,   28938.98 м/с
6687 с,   28944.31 м/с
6688 с,   28949.65 м/с
6689 с,   28955.00 м/с
6690 с,   28960.37 м/с
6691 с,   28965.74 м/с
6692 с,   28971.12 м/с
6693 с,   28976.51 м/с
6694 с,   28981.92 м/с
6695 с,   28987.33 м/с
6696 с,   28992.75 м/с
6697 с,   28998.19 м/с
6698 с,   29003.63 м/с
6699 с,   29009.08 м/с
6700 с,   29014.55 м/с
6701 с,   29020.02 м/с
6702 с,   29025.50 м/с
6703 с,   29030.99 м/с
6704 с,   29036.49 м/с
6705 с,   29042.00 м/с
6706 с,   29047.52 м/с
6707 с,   29053.05 м/с
6708 с,   29058.59 м/с
6709 с,   29064.14 м/с
6710 с,   29069.70 м/с
6711 с,   29075.26 м/с
6712 с,   29080.84 м/с
6713 с,   29086.43 м/с
6714 с,   29092.02 м/с
6715 с,   29097.62 м/с
6716 с,   29103.23 м/с
6717 с,   29108.85 м/с
6718 с,   29114.48 м/с
6719 с,   29120.12 м/с
6720 с,   29125.77 м/с
6721 с,   29131.42 м/с
6722 с,   29137.09 м/с
6723 с,   29142.76 м/с
6724 с,   29148.44 м/с
6725 с,   29154.13 м/с
6726 с,   29159.83 м/с
6727 с,   29165.53 м/с
6728 с,   29171.25 м/с
6729 с,   29176.97 м/с
6730 с,   29182.70 м/с
6731 с,   29188.44 м/с
6732 с,   29194.19 м/с
6733 с,   29199.94 м/с
6734 с,   29205.70 м/с
6735 с,   29211.47 м/с
6736 с,   29217.25 м/с
6737 с,   29223.04 м/с
6738 с,   29228.83 м/с
6739 с,   29234.63 м/с
6740 с,   29240.44 м/с
6741 с,   29246.26 м/с
6742 с,   29252.08 м/с
6743 с,   29257.91 м/с
6744 с,   29263.75 м/с
6745 с,   29269.60 м/с
6746 с,   29275.45 м/с
6747 с,   29281.31 м/с
6748 с,   29287.18 м/с
6749 с,   29293.05 м/с
6750 с,   29298.93 м/с
6751 с,   29304.82 м/с
6752 с,   29310.71 м/с
6753 с,   29316.62 м/с
6754 с,   29322.52 м/с
6755 с,   29328.44 м/с
6756 с,   29334.36 м/с
6757 с,   29340.29 м/с
6758 с,   29346.22 м/с
6759 с,   29352.17 м/с
6760 с,   29358.11 м/с
6761 с,   29364.07 м/с
6762 с,   29370.03 м/с
6763 с,   29375.99 м/с
6764 с,   29381.97 м/с
6765 с,   29387.94 м/с
6766 с,   29393.93 м/с
6767 с,   29399.92 м/с
6768 с,   29405.92 м/с
6769 с,   29411.92 м/с
6770 с,   29417.93 м/с
6771 с,   29423.94 м/с
6772 с,   29429.96 м/с
6773 с,   29435.99 м/с
6774 с,   29442.02 м/с
6775 с,   29448.05 м/с
6776 с,   29454.10 м/с
6777 с,   29460.14 м/с
6778 с,   29466.20 м/с
6779 с,   29472.25 м/с
6780 с,   29478.32 м/с
6781 с,   29484.39 м/с
6782 с,   29490.46 м/с
6783 с,   29496.54 м/с
6784 с,   29502.62 м/с
6785 с,   29508.71 м/с
6786 с,   29514.80 м/с
6787 с,   29520.90 м/с
6788 с,   29527.00 м/с
6789 с,   29533.11 м/с
6790 с,   29539.22 м/с
6791 с,   29545.34 м/с
6792 с,   29551.46 м/с
6793 с,   29557.58 м/с
6794 с,   29563.71 м/с
6795 с,   29569.85 м/с
6796 с,   29575.99 м/с
6797 с,   29582.13 м/с
6798 с,   29588.27 м/с
6799 с,   29594.43 м/с
6800 с,   29600.58 м/с
6801 с,   29606.74 м/с
6802 с,   29612.90 м/с
6803 с,   29619.07 м/с
6804 с,   29625.24 м/с
6805 с,   29631.41 м/с
6806 с,   29637.59 м/с
6807 с,   29643.77 м/с
6808 с,   29649.95 м/с
6809 с,   29656.14 м/с
6810 с,   29662.33 м/с
6811 с,   29668.53 м/с
6812 с,   29674.73 м/с
6813 с,   29680.93 м/с
6814 с,   29687.13 м/с
6815 с,   29693.34 м/с
6816 с,   29699.55 м/с
6817 с,   29705.76 м/с
6818 с,   29711.98 м/с
6819 с,   29718.20 м/с
6820 с,   29724.42 м/с
6821 с,   29730.64 м/с
6822 с,   29736.87 м/с
6823 с,   29743.10 м/с
6824 с,   29749.33 м/с
6825 с,   29755.57 м/с
6826 с,   29761.81 м/с
6827 с,   29768.05 м/с
6828 с,   29774.29 м/с
6829 с,   29780.53 м/с
6830 с,   29786.78 м/с
6831 с,   29793.03 м/с
6832 с,   29799.28 м/с
6833 с,   29805.53 м/с
6834 с,   29811.78 м/с
6835 с,   29818.04 м/с
6836 с,   29824.30 м/с
6837 с,   29830.56 м/с
6838 с,   29836.82 м/с
6839 с,   29843.08 м/с
6840 с,   29849.35 м/с
6841 с,   29855.61 м/с
6842 с,   29861.88 м/с
6843 с,   29868.15 м/с
6844 с,   29874.42 м/с
6845 с,   29880.69 м/с
6846 с,   29886.96 м/с
6847 с,   29893.24 м/с
6848 с,   29899.51 м/с
6849 с,   29905.79 м/с
6850 с,   29912.06 м/с
6851 с,   29918.34 м/с
6852 с,   29924.62 м/с
6853 с,   29930.90 м/с
6854 с,   29937.18 м/с
6855 с,   29943.46 м/с
6856 с,   29949.74 м/с
6857 с,   29956.02 м/с
6858 с,   29962.30 м/с
6859 с,   29968.59 м/с
6860 с,   29974.87 м/с
6861 с,   29981.15 м/с
6862 с,   29987.43 м/с
6863 с,   29993.72 м/с
6864 с,   30000.00 м/с
6865 с,   30006.28 м/с
6866 с,   30012.57 м/с
6867 с,   30018.85 м/с
6868 с,   30025.13 м/с
6869 с,   30031.41 м/с
6870 с,   30037.70 м/с
6871 с,   30043.98 м/с
6872 с,   30050.26 м/с
6873 с,   30056.54 м/с
6874 с,   30062.82 м/с
6875 с,   30069.10 м/с
6876 с,   30075.38 м/с
6877 с,   30081.66 м/с
6878 с,   30087.94 м/с
6879 с,   30094.21 м/с
6880 с,   30100.49 м/с
6881 с,   30106.76 м/с
6882 с,   30113.04 м/с
6883 с,   30119.31 м/с
6884 с,   30125.58 м/с
6885 с,   30131.85 м/с
6886 с,   30138.12 м/с
6887 с,   30144.39 м/с
6888 с,   30150.65 м/с
6889 с,   30156.92 м/с
6890 с,   30163.18 м/с
6891 с,   30169.44 м/с
6892 с,   30175.70 м/с
6893 с,   30181.96 м/с
6894 с,   30188.22 м/с
6895 с,   30194.47 м/с
6896 с,   30200.72 м/с
6897 с,   30206.97 м/с
6898 с,   30213.22 м/с
6899 с,   30219.47 м/с
6900 с,   30225.71 м/с
6901 с,   30231.95 м/с
6902 с,   30238.19 м/с
6903 с,   30244.43 м/с
6904 с,   30250.67 м/с
6905 с,   30256.90 м/с
6906 с,   30263.13 м/с
6907 с,   30269.36 м/с
6908 с,   30275.58 м/с
6909 с,   30281.80 м/с
6910 с,   30288.02 м/с
6911 с,   30294.24 м/с
6912 с,   30300.45 м/с
6913 с,   30306.66 м/с
6914 с,   30312.87 м/с
6915 с,   30319.07 м/с
6916 с,   30325.27 м/с
6917 с,   30331.47 м/с
6918 с,   30337.67 м/с
6919 с,   30343.86 м/с
6920 с,   30350.05 м/с
6921 с,   30356.23 м/с
6922 с,   30362.41 м/с
6923 с,   30368.59 м/с
6924 с,   30374.76 м/с
6925 с,   30380.93 м/с
6926 с,   30387.10 м/с
6927 с,   30393.26 м/с
6928 с,   30399.42 м/с
6929 с,   30405.57 м/с
6930 с,   30411.73 м/с
6931 с,   30417.87 м/с
6932 с,   30424.01 м/с
6933 с,   30430.15 м/с
6934 с,   30436.29 м/с
6935 с,   30442.42 м/с
6936 с,   30448.54 м/с
6937 с,   30454.66 м/с
6938 с,   30460.78 м/с
6939 с,   30466.89 м/с
6940 с,   30473.00 м/с
6941 с,   30479.10 м/с
6942 с,   30485.20 м/с
6943 с,   30491.29 м/с
6944 с,   30497.38 м/с
6945 с,   30503.46 м/с
6946 с,   30509.54 м/с
6947 с,   30515.61 м/с
6948 с,   30521.68 м/с
6949 с,   30527.75 м/с
6950 с,   30533.80 м/с
6951 с,   30539.86 м/с
6952 с,   30545.90 м/с
6953 с,   30551.95 м/с
6954 с,   30557.98 м/с
6955 с,   30564.01 м/с
6956 с,   30570.04 м/с
6957 с,   30576.06 м/с
6958 с,   30582.07 м/с
6959 с,   30588.08 м/с
6960 с,   30594.08 м/с
6961 с,   30600.08 м/с
6962 с,   30606.07 м/с
6963 с,   30612.06 м/с
6964 с,   30618.03 м/с
6965 с,   30624.01 м/с
6966 с,   30629.97 м/с
6967 с,   30635.93 м/с
6968 с,   30641.89 м/с
6969 с,   30647.83 м/с
6970 с,   30653.78 м/с
6971 с,   30659.71 м/с
6972 с,   30665.64 м/с
6973 с,   30671.56 м/с
6974 с,   30677.48 м/с
6975 с,   30683.38 м/с
6976 с,   30689.29 м/с
6977 с,   30695.18 м/с
6978 с,   30701.07 м/с
6979 с,   30706.95 м/с
6980 с,   30712.82 м/с
6981 с,   30718.69 м/с
6982 с,   30724.55 м/с
6983 с,   30730.40 м/с
6984 с,   30736.25 м/с
6985 с,   30742.09 м/с
6986 с,   30747.92 м/с
6987 с,   30753.74 м/с
6988 с,   30759.56 м/с
6989 с,   30765.37 м/с
6990 с,   30771.17 м/с
6991 с,   30776.96 м/с
6992 с,   30782.75 м/с
6993 с,   30788.53 м/с
6994 с,   30794.30 м/с
6995 с,   30800.06 м/с
6996 с,   30805.81 м/с
6997 с,   30811.56 м/с
6998 с,   30817.30 м/с
6999 с,   30823.03 м/с
7000 с,   30828.75 м/с
7001 с,   30834.47 м/с
7002 с,   30840.17 м/с
7003 с,   30845.87 м/с
7004 с,   30851.56 м/с
7005 с,   30857.24 м/с
7006 с,   30862.91 м/с
7007 с,   30868.58 м/с
7008 с,   30874.23 м/с
7009 с,   30879.88 м/с
7010 с,   30885.52 м/с
7011 с,   30891.15 м/с
7012 с,   30896.77 м/с
7013 с,   30902.38 м/с
7014 с,   30907.98 м/с
7015 с,   30913.57 м/с
7016 с,   30919.16 м/с
7017 с,   30924.74 м/с
7018 с,   30930.30 м/с
7019 с,   30935.86 м/с
7020 с,   30941.41 м/с
7021 с,   30946.95 м/с
7022 с,   30952.48 м/с
7023 с,   30958.00 м/с
7024 с,   30963.51 м/с
7025 с,   30969.01 м/с
7026 с,   30974.50 м/с
7027 с,   30979.98 м/с
7028 с,   30985.45 м/с
7029 с,   30990.92 м/с
7030 с,   30996.37 м/с
7031 с,   31001.81 м/с
7032 с,   31007.25 м/с
7033 с,   31012.67 м/с
7034 с,   31018.08 м/с
7035 с,   31023.49 м/с
7036 с,   31028.88 м/с
7037 с,   31034.26 м/с
7038 с,   31039.63 м/с
7039 с,   31045.00 м/с
7040 с,   31050.35 м/с
7041 с,   31055.69 м/с
7042 с,   31061.02 м/с
7043 с,   31066.34 м/с
7044 с,   31071.65 м/с
7045 с,   31076.95 м/с
7046 с,   31082.24 м/с
7047 с,   31087.52 м/с
7048 с,   31092.79 м/с
7049 с,   31098.05 м/с
7050 с,   31103.29 м/с
7051 с,   31108.53 м/с
7052 с,   31113.75 м/с
7053 с,   31118.96 м/с
7054 с,   31124.17 м/с
7055 с,   31129.36 м/с
7056 с,   31134.54 м/с
7057 с,   31139.71 м/с
7058 с,   31144.86 м/с
7059 с,   31150.01 м/с
7060 с,   31155.15 м/с
7061 с,   31160.27 м/с
7062 с,   31165.38 м/с
7063 с,   31170.48 м/с
7064 с,   31175.57 м/с
7065 с,   31180.65 м/с
7066 с,   31185.71 м/с
7067 с,   31190.77 м/с
7068 с,   31195.81 м/с
7069 с,   31200.84 м/с
7070 с,   31205.86 м/с
7071 с,   31210.87 м/с
7072 с,   31215.86 м/с
7073 с,   31220.84 м/с
7074 с,   31225.81 м/с
7075 с,   31230.77 м/с
7076 с,   31235.72 м/с
7077 с,   31240.65 м/с
7078 с,   31245.58 м/с
7079 с,   31250.49 м/с
7080 с,   31255.38 м/с
7081 с,   31260.27 м/с
7082 с,   31265.14 м/с
7083 с,   31270.00 м/с
7084 с,   31274.85 м/с
7085 с,   31279.68 м/с
7086 с,   31284.51 м/с
7087 с,   31289.31 м/с
7088 с,   31294.11 м/с
7089 с,   31298.90 м/с
7090 с,   31303.67 м/с
7091 с,   31308.43 м/с
7092 с,   31313.17 м/с
7093 с,   31317.90 м/с
7094 с,   31322.62 м/с
7095 с,   31327.33 м/с
7096 с,   31332.02 м/с
7097 с,   31336.70 м/с
7098 с,   31341.37 м/с
7099 с,   31346.03 м/с
7100 с,   31350.67 м/с
7101 с,   31355.29 м/с
7102 с,   31359.91 м/с
7103 с,   31364.51 м/с
7104 с,   31369.09 м/с
7105 с,   31373.67 м/с
7106 с,   31378.23 м/с
7107 с,   31382.77 м/с
7108 с,   31387.31 м/с
7109 с,   31391.83 м/с
7110 с,   31396.33 м/с
7111 с,   31400.82 м/с
7112 с,   31405.30 м/с
7113 с,   31409.76 м/с
7114 с,   31414.21 м/с
7115 с,   31418.65 м/с
7116 с,   31423.07 м/с
7117 с,   31427.48 м/с
7118 с,   31431.87 м/с
7119 с,   31436.25 м/с
7120 с,   31440.62 м/с
7121 с,   31444.97 м/с
7122 с,   31449.31 м/с
7123 с,   31453.63 м/с
7124 с,   31457.94 м/с
7125 с,   31462.23 м/с
7126 с,   31466.51 м/с
7127 с,   31470.78 м/с
7128 с,   31475.03 м/с
7129 с,   31479.26 м/с
7130 с,   31483.48 м/с
7131 с,   31487.69 м/с
7132 с,   31491.88 м/с
7133 с,   31496.06 м/с
7134 с,   31500.22 м/с
7135 с,   31504.37 м/с
7136 с,   31508.50 м/с
7137 с,   31512.62 м/с
7138 с,   31516.72 м/с
7139 с,   31520.81 м/с
7140 с,   31524.89 м/с
7141 с,   31528.94 м/с
7142 с,   31532.99 м/с
7143 с,   31537.01 м/с
7144 с,   31541.03 м/с
7145 с,   31545.02 м/с
7146 с,   31549.01 м/с
7147 с,   31552.97 м/с
7148 с,   31556.92 м/с
7149 с,   31560.86 м/с
7150 с,   31564.78 м/с
7151 с,   31568.69 м/с
7152 с,   31572.58 м/с
7153 с,   31576.45 м/с
7154 с,   31580.31 м/с
7155 с,   31584.15 м/с
7156 с,   31587.98 м/с
7157 с,   31591.79 м/с
7158 с,   31595.59 м/с
7159 с,   31599.37 м/с
7160 с,   31603.13 м/с
7161 с,   31606.88 м/с
7162 с,   31610.62 м/с
7163 с,   31614.33 м/с
7164 с,   31618.03 м/с
7165 с,   31621.72 м/с
7166 с,   31625.39 м/с
7167 с,   31629.04 м/с
7168 с,   31632.68 м/с
7169 с,   31636.30 м/с
7170 с,   31639.90 м/с
7171 с,   31643.49 м/с
7172 с,   31647.07 м/с
7173 с,   31650.62 м/с
7174 с,   31654.16 м/с
7175 с,   31657.68 м/с
7176 с,   31661.19 м/с
7177 с,   31664.68 м/с
7178 с,   31668.16 м/с
7179 с,   31671.61 м/с
7180 с,   31675.06 м/с
7181 с,   31678.48 м/с
7182 с,   31681.89 м/с
7183 с,   31685.28 м/с
7184 с,   31688.66 м/с
7185 с,   31692.01 м/с
7186 с,   31695.36 м/с
7187 с,   31698.68 м/с
7188 с,   31701.99 м/с
7189 с,   31705.28 м/с
7190 с,   31708.55 м/с
7191 с,   31711.81 м/с
7192 с,   31715.05 м/с
7193 с,   31718.28 м/с
7194 с,   31721.48 м/с
7195 с,   31724.67 м/с
7196 с,   31727.85 м/с
7197 с,   31731.00 м/с
7198 с,   31734.14 м/с
7199 с,   31737.26 м/с
7200 с,   31740.37 м/с
7201 с,   31743.45 м/с
7202 с,   31746.52 м/с
7203 с,   31749.58 м/с
7204 с,   31752.61 м/с
7205 с,   31755.63 м/с
7206 с,   31758.63 м/с
7207 с,   31761.62 м/с
7208 с,   31764.58 м/с
7209 с,   31767.53 м/с
7210 с,   31770.46 м/с
7211 с,   31773.38 м/с
7212 с,   31776.27 м/с
7213 с,   31779.15 м/с
7214 с,   31782.01 м/с
7215 с,   31784.86 м/с
7216 с,   31787.68 м/с
7217 с,   31790.49 м/с
7218 с,   31793.28 м/с
7219 с,   31796.06 м/с
7220 с,   31798.81 м/с
7221 с,   31801.55 м/с
7222 с,   31804.27 м/с
7223 с,   31806.97 м/с
7224 с,   31809.65 м/с
7225 с,   31812.32 м/с
7226 с,   31814.97 м/с
7227 с,   31817.60 м/с
7228 с,   31820.21 м/с
7229 с,   31822.81 м/с
7230 с,   31825.38 м/с
7231 с,   31827.94 м/с
7232 с,   31830.48 м/с
7233 с,   31833.00 м/с
7234 с,   31835.51 м/с
7235 с,   31838.00 м/с
7236 с,   31840.46 м/с
7237 с,   31842.91 м/с
7238 с,   31845.35 м/с
7239 с,   31847.76 м/с
7240 с,   31850.15 м/с
7241 с,   31852.53 м/с
7242 с,   31854.89 м/с
7243 с,   31857.23 м/с
7244 с,   31859.55 м/с
7245 с,   31861.86 м/с
7246 с,   31864.14 м/с
7247 с,   31866.41 м/с
7248 с,   31868.66 м/с
7249 с,   31870.89 м/с
7250 с,   31873.10 м/с
7251 с,   31875.29 м/с
7252 с,   31877.47 м/с
7253 с,   31879.62 м/с
7254 с,   31881.76 м/с
7255 с,   31883.88 м/с
7256 с,   31885.98 м/с
7257 с,   31888.06 м/с
7258 с,   31890.13 м/с
7259 с,   31892.17 м/с
7260 с,   31894.20 м/с
7261 с,   31896.20 м/с
7262 с,   31898.19 м/с
7263 с,   31900.16 м/с
7264 с,   31902.11 м/с
7265 с,   31904.05 м/с
7266 с,   31905.96 м/с
7267 с,   31907.85 м/с
7268 с,   31909.73 м/с
7269 с,   31911.59 м/с
7270 с,   31913.42 м/с
7271 с,   31915.24 м/с
7272 с,   31917.04 м/с
7273 с,   31918.82 м/с
7274 с,   31920.59 м/с
7275 с,   31922.33 м/с
7276 с,   31924.06 м/с
7277 с,   31925.76 м/с
7278 с,   31927.45 м/с
7279 с,   31929.11 м/с
7280 с,   31930.76 м/с
7281 с,   31932.39 м/с
7282 с,   31934.00 м/с
7283 с,   31935.59 м/с
7284 с,   31937.17 м/с
7285 с,   31938.72 м/с
7286 с,   31940.25 м/с
7287 с,   31941.77 м/с
7288 с,   31943.26 м/с
7289 с,   31944.74 м/с
7290 с,   31946.20 м/с
7291 с,   31947.63 м/с
7292 с,   31949.05 м/с
7293 с,   31950.45 м/с
7294 с,   31951.83 м/с
7295 с,   31953.19 м/с
7296 с,   31954.54 м/с
7297 с,   31955.86 м/с
7298 с,   31957.16 м/с
7299 с,   31958.45 м/с
7300 с,   31959.71 м/с
7301 с,   31960.96 м/с
7302 с,   31962.18 м/с
7303 с,   31963.39 м/с
7304 с,   31964.57 м/с
7305 с,   31965.74 м/с
7306 с,   31966.89 м/с
7307 с,   31968.02 м/с
7308 с,   31969.13 м/с
7309 с,   31970.22 м/с
7310 с,   31971.29 м/с
7311 с,   31972.34 м/с
7312 с,   31973.37 м/с
7313 с,   31974.38 м/с
7314 с,   31975.38 м/с
7315 с,   31976.35 м/с
7316 с,   31977.30 м/с
7317 с,   31978.24 м/с
7318 с,   31979.15 м/с
7319 с,   31980.05 м/с
7320 с,   31980.92 м/с
7321 с,   31981.78 м/с
7322 с,   31982.62 м/с
7323 с,   31983.43 м/с
7324 с,   31984.23 м/с
7325 с,   31985.01 м/с
7326 с,   31985.77 м/с
7327 с,   31986.50 м/с
7328 с,   31987.22 м/с
7329 с,   31987.92 м/с
7330 с,   31988.60 м/с
7331 с,   31989.26 м/с
7332 с,   31989.90 м/с
7333 с,   31990.52 м/с
7334 с,   31991.12 м/с
7335 с,   31991.71 м/с
7336 с,   31992.27 м/с
7337 с,   31992.81 м/с
7338 с,   31993.33 м/с
7339 с,   31993.83 м/с
7340 с,   31994.32 м/с
7341 с,   31994.78 м/с
7342 с,   31995.23 м/с
7343 с,   31995.65 м/с
7344 с,   31996.05 м/с
7345 с,   31996.44 м/с
7346 с,   31996.80 м/с
7347 с,   31997.15 м/с
7348 с,   31997.47 м/с
7349 с,   31997.78 м/с
7350 с,   31998.07 м/с
7351 с,   31998.33 м/с
7352 с,   31998.58 м/с
7353 с,   31998.81 м/с
7354 с,   31999.01 м/с
7355 с,   31999.20 м/с
7356 с,   31999.37 м/с
7357 с,   31999.52 м/с
7358 с,   31999.64 м/с
7359 с,   31999.75 м/с
7360 с,   31999.84 м/с
7361 с,   31999.91 м/с
7362 с,   31999.96 м/с
7363 с,   31999.99 м/с
7364 с,   32000.00 м/с
7365 с,   31999.99 м/с
7366 с,   31999.96 м/с
7367 с,   31999.91 м/с
7368 с,   31999.84 м/с
7369 с,   31999.75 м/с
7370 с,   31999.64 м/с
7371 с,   31999.52 м/с
7372 с,   31999.37 м/с
7373 с,   31999.20 м/с
