0 с,   0.00 м/с
280 с,   9722.22 м/с
281 с,   9756.94 м/с
282 с,   9791.67 м/с
283 с,   9826.39 м/с
284 с,   9861.11 м/с
285 с,   9895.83 м/с
286 с,   9930.56 м/с
287 с,   9965.28 м/с
288 с,   10000.00 м/с
289 с,   10034.72 м/с
290 с,   10069.44 м/с
291 с,   10104.17 м/с
292 с,   10138.89 м/с
293 с,   10173.61 м/с
294 с,   10208.33 м/с
295 с,   10243.06 м/с
296 с,   10277.78 м/с
297 с,   10312.50 м/с
298 с,   10347.22 м/с
299 с,   10381.94 м/с
300 с,   10416.67 м/с
301 с,   10451.39 м/с
302 с,   10486.11 м/с
303 с,   10520.83 м/с
304 с,   10555.56 м/с
305 с,   10590.28 м/с
306 с,   10625.00 м/с
307 с,   10659.72 м/с
308 с,   10694.44 м/с
309 с,   10729.17 м/с
310 с,   10763.89 м/с
311 с,   10798.61 м/с
312 с,   10833.33 м/с
313 с,   10868.06 м/с
314 с,   10902.78 м/с
315 с,   10937.50 м/с
316 с,   10972.22 м/с
317 с,   11006.94 м/с
318 с,   11041.67 м/с
319 с,   11076.39 м/с
320 с,   11111.11 м/с
321 с,   11145.83 м/с
322 с,   11180.56 м/с
323 с,   11215.28 м/с
324 с,   11250.00 м/с
325 с,   11284.72 м/с
326 с,   11319.44 м/с
327 с,   11354.17 м/с
328 с,   11388.89 м/с
329 с,   11423.61 м/с
330 с,   11458.33 м/с
331 с,   11493.06 м/с
332 с,   11527.78 м/с
333 с,   11562.50 м/с
334 с,   11597.22 м/с
335 с,   11631.94 м/с
336 с,   11666.67 м/с
337 с,   11701.39 м/с
338 с,   11736.11 м/с
339 с,   11770.83 м/с
340 с,   11805.56 м/с
341 с,   11840.28 м/с
342 с,   11875.00 м/с
343 с,   11909.72 м/с
344 с,   11944.44 м/с
345 с,   11979.17 м/с
346 с,   12013.89 м/с
347 с,   12048.61 м/с
348 с,   12083.33 м/с
349 с,   12118.06 м/с
350 с,   12152.78 м/с
351 с,   12187.50 м/с
352 с,   12222.22 м/с
353 с,   12256.94 м/с
354 с,   12291.67 м/с
355 с,   12326.39 м/с
356 с,   12361.11 м/с
357 с,   12395.83 м/с
358 с,   12430.56 м/с
359 с,   12465.28 м/с
360 с,   12500.00 м/с
361 с,   12534.72 м/с
362 с,   12569.44 м/с
363 с,   12604.17 м/с
364 с,   12638.89 м/с
365 с,   12673.61 м/с
366 с,   12708.33 м/с
367 с,   12743.06 м/с
368 с,   12777.78 м/с
369 с,   12812.50 м/с
370 с,   12847.22 м/с
371 с,   12881.94 м/с
372 с,   12916.67 м/с
373 с,   12951.39 м/с
374 с,   12986.11 м/с
375 с,   13020.83 м/с
376 с,   13055.56 м/с
377 с,   13090.28 м/с
378 с,   13125.00 м/с
379 с,   13159.72 м/с
380 с,   13194.44 м/с
381 с,   13229.17 м/с
382 с,   13263.89 м/с
383 с,   13298.61 м/с
384 с,   13333.33 м/с
385 с,   13368.06 м/с
386 с,   13402.78 м/с
387 с,   13437.50 м/с
388 с,   13472.22 м/с
389 с,   13506.94 м/с
390 с,   13541.67 м/с
391 с,   13576.39 м/с
392 с,   13611.11 м/с
393 с,   13645.83 м/с
394 с,   13680.56 м/с
395 с,   13715.28 м/с
396 с,   13750.00 м/с
397 с,   13784.72 м/с
398 с,   13819.44 м/с
399 с,   13854.17 м/с
400 с,   13888.89 м/с
401 с,   13923.61 м/с
402 с,   13958.33 м/с
403 с,   13993.06 м/с
404 с,   14027.78 м/с
405 с,   14062.50 м/с
406 с,   14097.22 м/с
407 с,   14131.94 м/с
408 с,   14166.67 м/с
409 с,   14201.39 м/с
410 с,   14236.11 м/с
411 с,   14270.83 м/с
412 с,   14305.56 м/с
413 с,   14340.28 м/с
414 с,   14375.00 м/с
415 с,   14409.72 м/с
416 с,   14444.44 м/с
